Order,Name,Total
1.,"Натрия хлорид 0,9%, 200 мл, фл","308,00"
3.,"Шприц 2 мл, 3-х комп. (Bioject)","32,00"
5.,Naturella прокладки Классик макси №8,"310,00"
7.,Чистая линия скраб мягкий 50 мл,"381,00"
9.,Чистая линия скраб мягкий 50 мл,"381,00"
11.,Pro Series Шампунь яркий цвет 500мл,"841,00"
13.,Clear шампунь Актив спорт 2в1мужской  400 мл,"1 200,00"
15.,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1 152,00"
17.,"[RX]-Дисоль р-р 400 мл, фл.","163,00"
19.,"[RX]-Церукал 2%, 2 мл, №10, амп.","792,00"
